iter	Passed	Remaining
0	4	956
1	9	895
2	12	821
3	15	772
4	19	767
5	23	769
6	27	753
7	30	731
8	34	731
9	38	731
10	41	721
11	45	714
12	48	703
13	52	693
14	55	684
15	58	672
16	61	662
17	64	653
18	67	646
19	71	639
20	73	630
21	77	624
22	81	623
23	84	620
24	88	616
25	90	607
26	93	599
27	96	590
28	98	582
29	102	578
30	104	571
31	107	562
32	109	555
33	112	547
34	114	540
35	117	534
36	120	529
37	123	525
38	126	521
39	129	517
40	132	512
41	134	507
42	137	502
43	140	497
44	143	493
45	146	488
46	149	487
47	152	483
48	157	484
49	159	479
50	166	486
51	172	491
52	179	497
53	185	502
54	192	506
55	198	511
56	206	518
57	212	521
58	216	517
59	219	511
60	223	508
61	225	502
62	228	497
63	231	491
64	234	486
65	237	482
66	240	477
67	243	471
68	245	466
69	246	458
70	249	452
71	251	447
72	254	442
73	256	437
74	259	432
75	262	427
76	265	423
77	267	419
78	270	414
79	273	410
80	276	405
81	279	401
82	281	397
83	284	392
84	287	388
85	289	384
86	292	379
87	295	375
88	298	371
89	300	367
90	304	364
91	307	360
92	309	356
93	312	352
94	315	349
95	318	345
96	321	341
97	323	337
98	326	333
99	329	329
100	332	325
101	334	321
102	337	317
103	339	313
104	343	310
105	345	306
106	348	302
107	350	298
108	353	295
109	355	290
110	357	286
111	360	283
112	363	279
113	366	276
114	368	272
115	371	269
116	374	265
117	377	262
118	380	258
119	383	255
120	385	251
121	388	248
122	391	244
123	393	241
124	396	237
125	398	234
126	401	230
127	404	227
128	406	223
129	409	220
130	411	216
131	414	213
132	415	209
133	418	205
134	420	202
135	423	199
136	425	195
137	428	192
138	430	189
139	433	185
140	435	182
141	438	178
142	441	175
143	443	172
144	446	169
145	449	166
146	452	163
147	455	159
148	457	156
149	460	153
150	463	150
151	466	147
152	468	144
153	471	140
154	474	137
155	477	134
156	479	131
157	482	128
158	484	125
159	487	121
160	489	118
161	492	115
162	495	112
163	498	109
164	500	106
165	503	103
166	505	99
167	508	96
168	512	93
169	517	91
170	520	88
171	522	85
172	525	82
173	528	78
174	531	75
175	534	72
176	536	69
177	539	66
178	542	63
179	545	60
180	548	57
181	551	54
182	553	51
183	556	48
184	558	45
185	561	42
186	563	39
187	566	36
188	573	33
189	579	30
190	585	27
191	590	24
192	595	21
193	600	18
194	606	15
195	611	12
196	616	9
197	621	6
198	625	3
199	629	0
